timestamp,vDC,iDC,iA,iB,vA,vB,speed,regen_method,throttle,iqRef,iqFdb,temp_fet,power,error,SOC,vBMS,iBMS
8663,18940,404,3808,6260,601,397,28,2,85,5090,5090,30,22,0,99,4094,-1
8664,18939,404,3422,6284,655,457,28,2,85,5090,5088,30,22,0,99,4094,-1
8665,18939,405,3702,6013,642,421,28,2,85,5090,5085,30,25,0,99,4094,-1
8666,18939,404,3643,6573,594,381,29,2,85,5090,5089,30,33,0,99,4094,-1
8667,18938,404,3642,6057,625,425,28,2,90,5287,5290,30,26,0,99,4094,-1
8668,18938,404,3909,6982,653,449,27,2,90,5389,5390,30,23,0,99,4094,-1
8669,18938,404,3723,6206,624,398,27,2,90,5389,5389,30,23,0,99,4093,-2
8670,18938,403,3923,7019,597,383,28,2,90,5389,5388,30,23,0,99,4093,-2
8671,18938,404,3702,6176,625,424,28,2,90,5389,5390,30,23,0,99,4093,-2
8672,18938,404,3946,7005,657,451,27,2,90,5389,5387,30,23,0,99,4093,-2
8673,18938,405,3657,6179,619,393,28,2,90,5389,5387,30,23,0,99,4093,-2
8674,18938,404,4020,6970,598,387,28,2,90,5389,5389,30,23,0,99,4093,-2
8675,18938,405,3602,6237,636,437,28,2,90,5389,5386,30,23,0,99,4093,-2
8676,18938,405,4041,6877,656,444,28,2,90,5389,5388,30,23,0,99,4093,-2
8677,18938,404,3587,6380,604,383,28,1,90,5389,5389,30,23,0,99,4093,-2
8678,18938,403,4059,6775,599,392,28,1,90,5389,5389,30,23,0,99,4093,-2
8679,18938,403,3580,6539,651,451,28,1,90,5389,5387,30,23,0,99,4093,-2
8680,18937,403,3975,6494,647,426,28,1,90,5389,5385,30,29,0,99,4093,-2
8681,18937,403,3804,6930,594,379,29,1,90,5389,5388,30,35,0,99,4093,-2
8682,18937,403,3837,6507,634,438,29,1,95,5604,5603,30,37,0,99,4093,-2
8683,18937,405,4244,7172,660,445,29,1,95,5689,5689,30,38,0,99,4093,-2
8684,18937,404,3839,6996,598,378,29,1,95,5689,5689,30,38,0,99,4093,-2
8685,18937,404,4107,6721,613,413,29,1,95,5689,5688,31,38,0,99,4093,-2
8686,18936,405,4117,7321,667,462,29,1,95,5689,5686,30,37,0,99,4093,-2
8687,18936,404,3830,6713,612,386,29,1,95,5689,5684,30,37,0,99,4093,-2
8688,18936,403,4124,6811,612,412,30,1,95,5689,5684,31,37,0,99,4093,-2
8689,18936,403,4162,7260,677,467,30,1,95,5689,5685,30,37,0,99,4093,-2
8690,18936,403,3947,7088,596,377,30,1,95,5689,5687,30,37,0,99,4093,-2
8691,18936,405,3889,6740,647,454,31,1,95,5689,5689,30,38,0,99,4093,-2
8692,18936,405,4084,6807,646,425,30,1,95,5689,5687,30,38,0,99,4093,-2
8693,18936,404,4175,7099,597,392,31,1,95,5689,5688,31,38,0,99,4093,-2
8694,18935,405,4047,7172,679,477,31,1,95,5689,5687,30,38,0,99,4093,-2
8695,18935,404,3927,6949,607,382,31,1,95,5689,5685,30,37,0,99,4093,-2
8696,18935,404,3933,6762,643,451,31,1,95,5689,5687,31,38,0,99,4093,-2
8697,18935,405,4087,6802,648,428,31,1,95,5689,5691,30,38,0,99,4093,-2
8698,18936,403,4173,7150,595,390,31,1,95,5689,5689,31,38,0,99,4093,-2
8699,18935,405,4051,7169,682,480,31,1,95,5689,5687,30,37,0,99,4093,-2
8700,18935,405,3941,7028,602,380,31,1,95,5689,5689,31,38,0,99,4092,-2
8701,18935,404,3911,6764,647,454,31,1,95,5689,5692,31,38,0,99,4092,-2
8702,18936,405,4082,6832,647,425,31,1,95,5689,5690,30,38,0,99,4092,-2
8703,18936,405,4128,7027,602,400,31,1,95,5689,5682,31,37,0,99,4092,-2
8704,18935,405,4088,7059,684,475,32,1,95,5689,5686,30,37,0,99,4092,-2
8705,18935,405,4061,7148,591,379,31,1,95,5689,5691,31,38,0,99,4092,-2
8706,18935,405,3940,6982,669,476,31,1,95,5689,5687,30,38,0,99,4092,-2
8707,18935,405,3954,6855,620,394,31,1,95,5689,5688,30,38,0,99,4092,-2
8708,18935,405,3982,6828,636,443,31,1,95,5689,5690,31,38,0,99,4092,-2
8709,18935,406,4091,6924,654,435,31,1,95,5689,5689,30,38,0,99,4092,-2
8710,18935,405,4094,7007,605,405,32,1,95,5689,5684,31,37,0,99,4093,-2
8711,18935,405,4083,7021,680,469,32,1,95,5689,5687,30,38,0,99,4093,-2
8712,18935,404,4108,7113,590,382,32,1,95,5689,5689,31,38,0,99,4093,-2
8713,18935,405,4030,7066,684,483,32,1,95,5689,5686,30,37,0,99,4093,-2
8714,18935,406,4009,7030,598,378,32,1,95,5689,5688,31,38,0,99,4093,-2
8715,18935,406,3951,6933,663,472,32,1,95,5689,5689,30,38,0,99,4093,-2
8716,18935,405,3985,6915,624,398,32,1,95,5689,5686,31,37,0,99,4093,-2
8717,18934,405,4019,6959,652,463,32,1,95,5689,5685,31,37,0,99,4093,-2
8718,18934,405,4014,6944,634,409,33,1,95,5689,5691,31,38,0,99,4093,-2
8719,18935,405,4010,6896,639,448,32,1,95,5689,5693,31,38,0,99,4093,-2
8720,18935,405,4041,6889,648,428,32,1,95,5689,5690,30,38,0,99,4092,-2
8721,18935,405,4057,6940,621,425,32,1,95,5689,5688,31,38,0,99,4092,-2
8722,18934,405,4062,6938,665,450,32,1,95,5689,5688,30,38,0,99,4092,-2
8723,18935,404,4077,6996,605,405,32,1,95,5689,5687,31,37,0,99,4092,-2
8724,18934,405,4043,6943,679,468,33,1,95,5689,5685,30,37,0,99,4092,-2
8725,18934,405,4063,7033,597,395,33,1,95,5689,5688,31,38,0,99,4092,-2
