timestamp,vDC,iDC,iA,iB,vA,vB,speed,regen_method,throttle,iqRef,iqFdb,temp_fet,power,error,SOC
0,16468,74,28,23,12,12,9,1,0,0,0,30,0,0,0
300,16468,74,27,22,12,12,9,1,0,0,0,31,0,0,0
301,16468,75,27,23,12,12,9,1,0,0,0,31,0,0,0
302,16468,74,27,22,12,12,9,1,0,0,0,31,0,0,0
303,16468,74,27,22,12,12,9,1,0,0,0,30,0,0,53
304,16468,75,27,22,12,12,9,1,0,0,0,30,0,0,53
305,16468,73,27,22,12,12,9,1,0,0,0,31,0,0,53
307,16468,73,29,22,13,13,9,1,0,0,0,31,0,0,53
308,16468,73,27,22,13,13,9,1,0,0,0,31,0,0,53
309,16468,74,27,22,13,13,9,1,0,0,0,30,0,0,53
310,16468,72,27,23,12,12,9,1,0,0,0,31,0,0,53
311,16468,74,28,23,12,12,9,1,0,0,0,31,0,0,53
312,16468,74,28,23,12,12,9,1,0,0,0,30,0,0,53
313,16468,73,27,22,12,12,9,1,0,0,0,30,0,0,53
314,16468,74,28,23,11,11,9,1,0,0,0,31,0,0,53
316,16468,73,27,23,12,12,9,1,0,0,0,31,0,0,53
317,16468,74,27,23,13,13,9,1,0,0,0,31,0,0,53
318,16468,74,27,21,12,12,9,1,0,0,0,30,0,0,53
319,16468,75,27,23,12,12,9,1,0,0,0,30,0,0,53
320,16468,75,27,23,14,14,9,1,0,0,0,30,0,0,53
322,16468,75,27,22,12,12,9,1,0,0,0,30,0,0,53
323,16468,74,27,23,14,14,9,1,0,0,0,31,0,0,53
324,16468,74,27,22,12,12,9,1,0,0,0,30,0,0,53
325,16468,74,27,21,13,13,9,1,0,0,0,31,0,0,53
326,16468,74,27,22,12,12,9,1,0,0,0,30,0,0,53
327,16468,75,28,22,12,12,9,1,0,0,0,31,0,0,53
328,16468,74,28,21,12,12,9,1,0,0,0,30,0,0,53
329,16468,74,27,21,11,11,9,1,0,0,0,30,0,0,53
331,16468,75,28,21,12,12,9,1,0,0,0,31,0,0,53
332,16467,75,28,21,13,13,9,1,0,0,0,30,0,0,53
334,16468,75,26,21,12,12,9,1,0,0,0,30,0,0,53
335,16468,75,27,20,13,13,9,1,0,0,0,30,0,0,53
336,16468,75,26,21,12,12,9,1,0,0,0,31,0,0,53
337,16467,76,28,21,12,12,9,1,5,0,0,31,0,0,53
338,16466,76,26,22,13,13,9,1,5,0,0,31,0,0,53
339,16466,77,26,21,11,11,9,1,5,0,0,31,0,0,53
340,16466,77,27,21,12,12,9,1,5,0,0,31,0,0,53
341,16466,76,26,21,11,11,9,1,10,0,0,31,0,0,53
342,16466,76,27,22,12,12,9,1,10,0,0,31,0,0,53
343,16466,77,28,22,12,12,9,1,10,0,0,31,0,0,53
345,16466,76,26,20,13,13,9,1,10,0,0,30,0,0,53
346,16466,77,26,21,13,13,9,1,10,0,0,31,0,0,53
347,16466,75,26,22,12,12,9,1,10,0,0,31,0,0,53
348,16466,75,27,22,13,13,9,1,15,0,0,31,0,0,53
350,16466,77,26,21,13,13,9,1,15,0,0,31,0,0,53
351,16466,77,27,22,13,13,9,1,15,0,0,30,0,0,53
352,16466,75,26,22,12,12,9,1,15,0,0,31,0,0,53
353,16466,76,27,22,12,12,9,1,15,0,0,31,0,0,53
354,16466,76,27,22,12,12,9,1,15,0,0,30,0,0,53
355,16466,75,26,21,12,12,9,1,15,0,0,30,0,0,53
357,16466,75,26,22,21,21,9,1,15,0,0,30,0,0,53
358,16466,-87,32,37,1130,1208,9,1,15,0,0,31,0,0,53
359,16466,-160,33,45,1277,1502,9,1,15,0,0,30,0,0,53
360,16466,-182,34,49,1592,1963,9,1,15,0,0,31,0,0,53
361,16466,-148,34,44,1522,1680,0,1,15,0,0,0,0,0,53
362,16466,41,28,23,507,507,9,1,15,0,0,30,0,0,53
364,16466,78,28,21,42,42,9,1,15,0,0,31,0,0,53
365,16466,74,27,26,145,433,9,1,15,0,0,30,0,0,53
367,16466,72,28,22,662,684,9,1,15,0,0,30,0,0,53
368,16466,-145,32,43,1427,1499,9,1,15,0,0,30,0,0,53
369,16467,-225,41,64,2930,3758,11,1,15,0,0,30,0,0,53
370,16467,-219,42,60,3140,3495,32,1,15,0,0,30,0,0,53
